"a","b","c","d","e","f","g","h"
"20185088","20185343","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20185344","20185599","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20185600","20185855","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20185856","20186367","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20186368","20186879","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20186880","20187135","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20187136","20187391","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20187392","20187647","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20187648","20187903","VN","Viet Nam","Binh Dinh","Qui Nhon","13.76667","109.23333"
"20187904","20188159","VN","Viet Nam","Ninh Thuan","Phan Rang-Thap Cham","11.56667","108.98333"
"20188160","20188415","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20188416","20188671","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20188672","20189183","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20189184","20189439","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20189440","20189695","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20189696","20190207","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20190208","20190463","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20190464","20190975","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20190976","20191231","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20191232","20191487","VN","Viet Nam","Yen Bai","Yen Bai","21.7","104.86667"
"20191488","20191743","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20191744","20191999","VN","Viet Nam","Ba Ria - Vung Tau","Lien Loc","10.7449","107.243"
"20192000","20192255","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20192256","20192511","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20192512","20192767","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20192768","20193023","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20193024","20193279","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20193280","20193535","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20193536","20194047","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20194048","20194303","VN","Viet Nam","Tra Vinh","Tra Vinh","9.93472","106.34528"
"20194304","20194815","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20194816","20195071","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20195072","20195583","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20195584","20195839","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20195840","20196095","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20196096","20196351","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20196352","20196607","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20196608","20197375","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20197376","20197631","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20197632","20197887","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20197888","20198399","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20198400","20198655","VN","Viet Nam","Dong Nai","Vung Tau","10.34599","107.08426"
"20198656","20198911","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20198912","20199167","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20199168","20199423","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20199424","20199679","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20199680","20199935","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20199936","20200447","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20200448","20200703","VN","Viet Nam","Binh Thuan","Phan Thiet","10.93333","108.1"
"20200704","20200959","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20200960","20201215","VN","Viet Nam","Tra Vinh","Tra Vinh","9.93472","106.34528"
"20201216","20201471","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20201472","20201727","VN","Viet Nam","Dong Thap","Cao Lanh","10.45","105.63333"
"20201728","20201983","VN","Viet Nam","Long An","Tan An","10.53333","106.41667"
"20201984","20202239","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20202240","20202495","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20202496","20202751","VN","Viet Nam","Long An","Tan An","10.53333","106.41667"
"20202752","20203007","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20203008","20203263","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20203264","20203519","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20203520","20203775","VN","Viet Nam","Hai Duong","Hai Duong","20.93333","106.31667"
"20203776","20204031","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20204032","20204287","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20204288","20204543","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20204544","20205055","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20205056","20205311","VN","Viet Nam","Quang Ngai","Quang Ngai","15.11667","108.8"
"20205312","20205567","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20205568","20205823","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20205824","20206079","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20206080","20206335","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20206336","20206591","VN","Viet Nam","Binh Phuoc","Dong Xoai","11.53333","106.91667"
"20206592","20206847","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20206848","20207103","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20207104","20207359","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20207360","20207615","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20207616","20208383","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20208384","20208639","VN","Viet Nam","Kien Giang","Rach Gia","10.01667","105.08333"
"20208640","20208895","VN","Viet Nam","Hai Phong","Haiphong","20.85611","106.68222"
"20208896","20209151","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20209152","20209407","VN","Viet Nam","Binh Thuan","Kon Tum","14.35","108"
"20209408","20209663","VN","Viet Nam","Kien Giang","Rach Gia","10.01667","105.08333"
"20209664","20209919","VN","Viet Nam","Tien Giang","My Tho","10.35","106.35"
"20209920","20210175","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20210176","20211199","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20211200","20211455","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20211456","20212735","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20212736","20212991","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20212992","20213759","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20213760","20214015","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20214016","20214271","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20214272","20214527","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20214528","20215039","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20215040","20215295","VN","Viet Nam","Lam Dong","Da Lat","11.94646","108.44193"
"20215296","20215551","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20215552","20215807","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20215808","20216319","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20216320","20216575","VN","Viet Nam","Thai Nguyen","Thai Nguyen","21.59278","105.84417"
"20216576","20216831","VN","Viet Nam","Quang Ninh","Ha Long","20.95111","107.08"
"20216832","20217087","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20217088","20217343","VN","Viet Nam","Thai Binh","Thai Binh","20.45","106.33333"
"20217344","20217599","VN","Viet Nam","Ninh Binh","Ninh Binh","20.25389","105.975"
"20217600","20217855","VN","Viet Nam","Thai Nguyen","Thai Nguyen","21.59278","105.84417"
"20217856","20218367","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20218368","20218623","VN","Viet Nam","Ba Ria - Vung Tau","Ap Binh Chau","10.55","107.55"
"20218624","20218879","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20218880","20219135","VN","Viet Nam","Hai Duong","Hai Duong","20.93333","106.31667"
"20219136","20219391","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20219392","20219647","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20219648","20219903","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20219904","20220159","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20220160","20220671","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20220672","20220927","VN","Viet Nam","Tay Ninh","Phu Khuong","11.28333","106.13333"
"20220928","20221183","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20221184","20221951","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20221952","20222719","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20222720","20222975","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20222976","20223231","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20223232","20223487","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20223488","20223743","VN","Viet Nam","Long An","Tan An","10.53333","106.41667"
"20223744","20223999","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20224000","20224255","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20224256","20224511","VN","Viet Nam","Lam Dong","Da Lat","11.94646","108.44193"
"20224512","20224767","VN","Viet Nam","Quang Nam","Tam Ky","15.56667","108.48333"
"20224768","20225023","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20225024","20225279","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20225280","20225535","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20225536","20225791","VN","Viet Nam","Phu Yen","Song Cau","13.45","109.21667"
"20225792","20226047","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20226048","20226303","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20226304","20226815","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20226816","20227071","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20227072","20227583","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20227584","20228351","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20228352","20228607","VN","Viet Nam","Thua Thien-Hue","Hue","16.46667","107.6"
"20228608","20228863","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20228864","20229119","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20229120","20229375","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20229376","20229631","VN","Viet Nam","Hai Phong","Haiphong","20.85611","106.68222"
"20229632","20229887","VN","Viet Nam","Thanh Hoa","Thanh Hoa","19.8","105.76667"
"20229888","20230143","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20230144","20230399","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20230400","20230911","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20230912","20231679","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20231680","20231935","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20231936","20232703","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20232704","20232959","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20232960","20233215","VN","Viet Nam","Ninh Thuan","Phan Rang-Thap Cham","11.56667","108.98333"
"20233216","20233471","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20233472","20233983","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20233984","20234239","VN","Viet Nam","An Giang","Long Xuyen","10.38333","105.41667"
"20234240","20234495","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20234496","20234751","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20234752","20235007","VN","Viet Nam","Quang Ngai","Quang Ngai","15.11667","108.8"
"20235008","20235263","VN","Viet Nam","Vinh Long","Vinh Long","10.25","105.96667"
"20235264","20235775","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20235776","20236031","VN","Viet Nam","Soc Trang","Soc Trang","9.60333","105.98"
"20236032","20236287","VN","Viet Nam","Ba Ria - Vung Tau","Vung Tau","10.346","107.084"
"20236288","20236543","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20236544","20236799","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20236800","20237055","VN","Viet Nam","Vinh Long","Vinh Long","10.25","105.96667"
"20237056","20237311","VN","Viet Nam","Ba Ria - Vung Tau","Ben Dinh","10.3683","107.083"
"20237312","20237823","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20237824","20238079","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20238080","20238335","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20238336","20238591","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20238592","20238847","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20238848","20239103","VN","Viet Nam","Ba Ria - Vung Tau","Lien Loc","10.7449","107.243"
"20239104","20239359","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20239360","20239615","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20239616","20239871","VN","Viet Nam","Lam Dong","Da Lat","11.94646","108.44193"
"20239872","20240127","VN","Viet Nam","An Giang","Long Xuyen","10.38333","105.41667"
"20240128","20240383","VN","Viet Nam","Soc Trang","Soc Trang","9.60333","105.98"
"20240384","20241151","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20241152","20241407","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20241408","20241663","VN","Viet Nam","Ba Ria - Vung Tau","Phuoc Lap","10.6395","107.053"
"20241664","20241919","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20241920","20242175","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20242176","20242431","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20242432","20244735","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20244736","20245503","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20245504","20245759","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20245760","20246015","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20246016","20246271","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20246272","20246527","VN","Viet Nam","Quang Ngai","Quang Ngai","15.11667","108.8"
"20246528","20246783","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20246784","20247039","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20247040","20247295","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20247296","20248575","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20248576","20248831","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20248832","20249087","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20249088","20249599","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20249600","20249855","VN","Viet Nam","Tay Ninh","Phu Khuong","11.28333","106.13333"
"20249856","20250111","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20250112","20250367","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20250368","20250623","VN","Viet Nam","Tay Ninh","Phu Khuong","11.28333","106.13333"
"20250624","20250879","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20250880","20251135","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20251136","20251647","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20251648","20252159","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20252160","20252415","VN","Viet Nam","Ba Ria - Vung Tau","Ong Trinh","10.5654","107.058"
"20252416","20252671","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20252672","20252927","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20252928","20253183","VN","Viet Nam","Thua Thien-Hue","Hue","16.46667","107.6"
"20253184","20253439","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20253440","20253695","VN","Viet Nam","Ba Ria - Vung Tau","Xa Thang Tam","10.3375","107.092"
"20253696","20253951","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20253952","20254207","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20254208","20254463","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20254464","20254719","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20254720","20254975","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20254976","20255231","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20255232","20255487","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20255488","20255743","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20255744","20255999","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20256000","20256255","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20256256","20256511","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20256512","20256767","VN","Viet Nam","Quang Ngai","Quang Ngai","15.11667","108.8"
"20256768","20257023","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20257024","20257279","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20257280","20257535","VN","Viet Nam","Binh Duong","Uyen Hung","11.08416","106.78834"
"20257536","20257791","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20257792","20258047","VN","Viet Nam","Ba Ria - Vung Tau","Thon Bay","10.5833","107.575"
"20258048","20258559","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20258560","20258815","VN","Viet Nam","An Giang","Chau Doc","10.7","105.11667"
"20258816","20259071","VN","Viet Nam","An Giang","Long Xuyen","10.38333","105.41667"
"20259072","20259327","VN","Viet Nam","Binh Thuan","Phan Thiet","10.93333","108.1"
"20259328","20259583","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20259584","20259839","VN","Viet Nam","Dong Nai","Vung Tau","10.34599","107.08426"
"20259840","20260351","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20260352","20261119","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20261120","20261375","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20261376","20261631","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20261632","20261887","VN","Viet Nam","Thua Thien-Hue","Hue","16.46667","107.6"
"20261888","20262143","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20262144","20262655","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20262656","20262911","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
